year,gtmp_bkly_aw,gtmp_bkly_aw_dtfe2s
1960,14.11639022827148,-.11021669
1961,14.20053005218506,-.028178334
1962,14.15464019775391,-.048201196
1963,14.20648288726807,-.017591549
1964,13.90407466888428,-.28856894
1965,14.00164318084717,-.16595942
1966,14.06783294677734,.014467344
1967,14.09501647949219,.10507648
1968,14.02424335479736,-.058524091
1969,14.16664791107178,.046837382
1970,14.12409114837646,.025348375
1971,14.00658893585205,-.13702011
1972,14.12479877471924,-.069343396
1973,14.25832462310791,.15124978
1974,14.06671810150146,-.057488598
1975,14.12532138824463,-.11363675
1976,14.03835582733154,-.1643783
1977,14.34995937347412,.22445133
1978,14.21695709228516,.11777575
1979,14.28894424438477,.066335298
1980,14.4105978012085,.10348094
1981,14.46012115478516,.17178015
1982,14.24510097503662,-.14189653
1983,14.42570877075195,-.043658078
1984,14.25731945037842,-.12314247
1985,14.25364589691162,-.12159549
1986,14.30850505828857,-.062488955
1987,14.44720077514648,.15574975
1988,14.49242115020752,.1741647
1989,14.37826061248779,-.037370943
1990,14.56477642059326,.061757583
1991,14.55246448516846,.087926798
1992,14.34378719329834,-.16509844
1993,14.40097045898438,-.18746804
1994,14.45046901702881,-.023842791
1995,14.60652542114258,.19870222
1996,14.49520206451416,.035283931
1997,14.63578701019287,.071980208
1998,14.7860631942749,.20819131
1999,14.54416942596436,-.055485062
2000,14.54387664794922,-.19864948
2001,14.67854022979736,-.0075295861
2002,14.77096843719482,.19654815
2003,14.75315380096436,.10887664
2004,14.66725635528564,-.087110825
2005,14.83266735076904,.044972595
2006,14.78326797485352,.048423119
2007,14.79590320587158,.014505517
2008,14.66738605499268,-.16451348
2009,14.80344867706299,-.012161092
2010,14.87247943878174,.11800189
2011,14.76241302490234,-.0035803979
2012,14.78221797943115,-.082413852
2013,14.80175113677979,-.037529889
2014,14.87323474884033,.074320555
2015,15.02161026000977,.20349438
2016,15.16036510467529,.29607511
2017,15.06583690643311,.091574989
2018,14.99086761474609,-.12392553
2019,15.12524318695068,-.0043175002
